@attribute Elapsed_Time_training numeric
@attribute Elapsed_Time_testing numeric
@attribute UserCPU_Time_training numeric
@attribute UserCPU_Time_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary string

@data

data/beck-s-abridged,3,10,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20130416.0326,1710,189,24,165,0,12.698413,87.301587,0,0.091479,0.021322,0.102996,96.374124,97.967896,1095.215455,962.221564,132.993891,5.794791,5.091119,0.703671,174.154547,0.921453,2973.866349,0,0,0,0,1,185,1,4,0,0,0,0.846622,0.126984,0.03538,0.96462,0.873016,0.156064,0.126984,0.073986,0.735106,0.024798,0.126984,0.174,3.617,0.17,3.44,3737099,9017700,1052223,98.412698,70.34632,?
data/beck-s-abridged,4,1,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20130416.0326,1709,190,27,163,0,14.210526,85.789474,0,0.108982,0.021477,0.103671,97.104612,98.643698,1092.950191,1003.832345,89.117847,5.752369,5.283328,0.469041,167.465186,0.881396,2857.35584,0,0,0,0,1,186,1,4,0,0,0,0.739247,0.142105,0.032875,0.967125,0.857895,0.13498,0.142105,0.077377,0.69393,0.031044,0.142105,0.176,3.556,0.17,3.41,3737099,9012463,1057460,96.315789,70.909091,?
data/beck-s-abridged,4,2,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20130416.0326,1709,190,28,162,0,14.736842,85.263158,0,0.114576,0.021447,0.103482,96.925469,98.41212,1103.825331,992.526648,111.298684,5.809607,5.223824,0.585783,171.75632,0.903981,2933.667929,0,0,0,0,1,186,1,4,0,0,0,0.841398,0.147368,0.033009,0.966991,0.852632,0.048744,0.147368,0.071336,0.74486,0.028357,0.147368,0.173,3.567,0.17,3.4,3737099,9012463,1057460,95.789474,70.173445,?
data/beck-s-abridged,4,3,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20130416.0326,1709,190,30,160,0,15.789474,84.210526,0,0.125331,0.021377,0.10303,96.605674,97.97819,1105.795839,967.872649,137.92319,5.819978,5.094067,0.725912,183.682892,0.966752,3137.987784,0,0,0,0,1,186,1,4,0,0,0,0.741263,0.157895,0.03217,0.96783,0.842105,0.14751,0.157895,0.096434,0.749295,0.032611,0.157895,0.179,3.691,0.18,3.52,3737099,9012463,1057460,97.368421,70.861244,?
data/beck-s-abridged,4,4,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20130416.0326,1709,190,27,163,0,14.210526,85.789474,0,0.107441,0.021425,0.103372,96.792118,98.27114,1107.223232,989.996454,117.226779,5.827491,5.210508,0.616983,167.434019,0.881232,2860.846182,0,0,0.032258,6,0.967742,180,1,4,0,0,0,0.760753,0.142105,0.03453,0.96547,0.857895,0.136258,0.142105,0.078052,0.740737,0.026227,0.142105,0.2,3.696,0.2,3.49,3737099,9012463,1057460,95.789474,70.191388,?
data/beck-s-abridged,4,5,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20130416.0326,1709,190,26,164,0,13.684211,86.315789,0,0.098797,0.021377,0.103408,96.584958,98.314179,1108.063556,984.921428,123.142128,5.831913,5.183797,0.648116,172.003059,0.905279,2939.149247,0,0,0,0,1,186,1,4,0,0,0,0.708333,0.136842,0.038781,0.961219,0.863158,0.056387,0.136842,0.074442,0.717066,0.02653,0.136842,0.186,3.841,0.19,3.57,3737099,9012463,1057460,97.368421,70.263158,?
data/beck-s-abridged,4,6,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20130416.0326,1709,190,24,166,0,12.631579,87.368421,0,0.090227,0.021506,0.103875,97.173292,98.765255,1108.701758,1019.286539,89.415219,5.835272,5.364666,0.470606,155.378656,0.817782,2655.148755,0,0,0,0,1,186,1,4,0,0,0,0.915323,0.126316,0.036271,0.963729,0.873684,0.048059,0.126316,0.061052,0.694227,0.022334,0.126316,0.182,3.644,0.18,3.51,3737099,9012463,1057460,97.894737,70.885167,?
data/beck-s-abridged,4,7,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20130416.0326,1709,190,26,164,0,13.684211,86.315789,0,0.101914,0.021441,0.103734,96.891155,98.645634,1105.068966,993.334589,111.734377,5.816152,5.228077,0.588076,171.687833,0.90362,2932.844402,0,0,0.021505,4,0.978495,182,1,4,0,0,0,0.865591,0.136842,0.035069,0.964931,0.863158,0.069173,0.136842,0.073656,0.73729,0.029962,0.136842,0.182,3.757,0.18,3.6,3737099,9012463,1057460,98.421053,70.663876,?
data/beck-s-abridged,4,8,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20130416.0326,1709,190,28,162,0,14.736842,85.263158,0,0.110816,0.021336,0.103045,96.449558,98.028057,1100.559689,965.246531,135.313158,5.792419,5.080245,0.712175,176.111125,0.926901,3007.148093,0,0,0,0,1,186,1,4,0,0,0,0.758065,0.147368,0.036982,0.963018,0.852632,0.148599,0.147368,0.086273,0.746245,0.03014,0.147368,0.193,3.761,0.19,3.61,3737099,9012463,1057460,98.947368,70.741627,?
data/beck-s-abridged,4,9,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20130416.0327,1709,190,30,160,0,15.789474,84.210526,0,0.12455,0.021444,0.103562,96.941919,98.525663,1101.785828,978.897143,122.888685,5.798873,5.15209,0.646783,180.367689,0.949304,3080.223414,0,0,0,0,1,186,1,4,0,0,0,0.840726,0.157895,0.033515,0.966485,0.842105,0.052025,0.157895,0.07655,0.736875,0.029426,0.157895,0.196,3.729,0.2,3.55,3737099,9012463,1057460,96.842105,70.257177,?
data/beck-s-abridged,4,10,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20130416.0327,1710,189,31,158,0,16.402116,83.597884,0,0.127913,0.021275,0.102599,96.191615,97.622734,1093.911872,978.673094,115.238778,5.787894,5.178165,0.609729,175.041609,0.926146,2988.668635,0,0,0,0,1,185,1,4,0,0,0,0.752703,0.164021,0.036315,0.963685,0.835979,0.059709,0.164021,0.083234,0.727249,0.028883,0.164021,0.191,3.875,0.19,3.6,3737099,9017700,1052223,94.708995,69.799182,?
data/beck-s-abridged,5,1,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20130416.0327,1709,190,20,170,0,10.526316,89.473684,0,0.069808,0.02144,0.103469,96.929911,98.439908,1099.33024,992.043838,107.286402,5.785949,5.221283,0.564665,165.941983,0.873379,2833.199479,0,0,0,0,1,186,1,4,0,0,0,0.820565,0.105263,0.035198,0.964802,0.894737,0.127076,0.105263,0.063691,0.70841,0.019094,0.105263,0.22,3.874,0.22,3.61,3737099,9012463,1057460,97.894737,70.412679,?
data/beck-s-abridged,5,2,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20130416.0327,1709,190,26,164,0,13.684211,86.315789,0,0.102509,0.021394,0.103354,96.699485,98.308334,1102.971341,986.67804,116.293301,5.805112,5.193042,0.61207,174.73447,0.919655,2984.340939,0,0,0,0,1,186,1,4,0,0,0,0.778898,0.136842,0.034418,0.965582,0.863158,0.043429,0.136842,0.064066,0.7429,0.022879,0.136842,0.2,3.774,0.2,3.54,3737099,9012463,1057460,95.789474,70.592105,?
data/beck-s-abridged,5,3,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20130416.0327,1709,190,31,159,0,16.315789,83.684211,0,0.12834,0.021302,0.102673,96.306711,97.684986,1097.123765,968.867873,128.255892,5.774336,5.099305,0.675031,172.576103,0.908295,2945.743848,0,0,0,0,1,186,1,4,0,0,0,0.672043,0.163158,0.035126,0.964874,0.836842,0.081361,0.163158,0.101826,0.733211,0.038209,0.163158,0.214,3.798,0.2,3.58,3737099,9012463,1057460,96.315789,70.2811,?
data/beck-s-abridged,5,4,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20130416.0327,1709,190,37,153,0,19.473684,80.526316,0,0.162658,0.021347,0.102934,96.47999,97.901558,1100.143373,965.661626,134.481747,5.790228,5.08243,0.707799,182.198128,0.958938,3110.900934,0,0,0,0,1,186,1,4,0,0,0,0.857527,0.194737,0.032319,0.967681,0.805263,0.156567,0.194737,0.106765,0.746625,0.043762,0.194737,0.218,3.769,0.2,3.55,3737099,9012463,1057460,96.315789,70.675837,?
data/beck-s-abridged,5,5,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20130416.0327,1709,190,27,163,0,14.210526,85.789474,0,0.110262,0.021423,0.103647,96.824574,98.579313,1099.959891,994.892809,105.067082,5.789263,5.236278,0.552985,160.923094,0.846964,2747.635464,0,0,0,0,1,186,1,4,0,0,0,0.72379,0.142105,0.031428,0.968572,0.857895,0.052659,0.142105,0.072685,0.729301,0.026155,0.142105,0.204,3.488,0.2,3.4,3737099,9012463,1057460,96.842105,70.657895,?
data/beck-s-abridged,5,6,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20130416.0327,1709,190,28,162,0,14.736842,85.263158,0,0.113505,0.02143,0.103566,96.829593,98.470746,1105.032739,985.599709,119.433029,5.815962,5.187367,0.628595,174.978278,0.920938,2989.059441,0,0,0,0,1,186,1,4,0,0,0,0.708333,0.147368,0.034312,0.965688,0.852632,0.155326,0.147368,0.091134,0.72931,0.041266,0.147368,0.254,3.578,0.18,3.47,3737099,9012463,1057460,97.368421,70.616029,?
